"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-62.28","82.52","ALERT","2400300","1950-01","1950","01","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-62.28","82.52","ALERT","2400300","1950-02","1950","02","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-62.28","82.52","ALERT","2400300","1950-03","1950","03","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-62.28","82.52","ALERT","2400300","1950-04","1950","04","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-62.28","82.52","ALERT","2400300","1950-05","1950","05","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-62.28","82.52","ALERT","2400300","1950-06","1950","06","","M","","M","","M","","M","","M","","M","","M","","M","","M","","","",""
"-62.28","82.52","ALERT","2400300","1950-07","1950","07","9.3","","2.4","","5.9","","18.3","","-1.1","S","0.0","T","1.5","","1.5","","0","","","","",""
"-62.28","82.52","ALERT","2400300","1950-08","1950","08","3.9","","-1.3","","1.3","","11.7","","-6.7","","0.0","","1.3","","1.3","","0","T","","","",""
"-62.28","82.52","ALERT","2400300","1950-09","1950","09","-7.2","","-13.9","","-10.6","","0.6","","-21.1","","0.0","","11.9","","11.9","","8","","","","",""
"-62.28","82.52","ALERT","2400300","1950-10","1950","10","-17.4","","-25.9","","-21.7","","-8.3","","-33.3","S","0.0","","24.4","","24.4","","13","","","","",""
"-62.28","82.52","ALERT","2400300","1950-11","1950","11","-23.2","","-31.4","","-27.3","","-0.6","","-39.4","","0.0","","7.1","","7.1","","18","","","","",""
"-62.28","82.52","ALERT","2400300","1950-12","1950","12","-28.1","","-36.7","","-32.4","","-10.6","","-43.3","","0.0","","5.3","","5.3","","23","","","","",""
"-62.28","82.52","ALERT","2400300","1951-01","1951","01","-32.4","","-40.4","","-36.4","","-22.8","","-47.8","","0.0","","1.3","","1.3","","23","","","","",""
"-62.28","82.52","ALERT","2400300","1951-02","1951","02","-30.0","","-38.5","","-34.3","","-10.6","","-47.2","","0.0","","6.1","","6.1","","25","","","","",""
"-62.28","82.52","ALERT","2400300","1951-03","1951","03","-26.3","","-34.4","","-30.4","","-20.0","S","-40.0","S","0.0","","5.3","","5.3","","28","","","","",""
"-62.28","82.52","ALERT","2400300","1951-04","1951","04","-19.1","","-29.0","","-24.1","","-2.2","","-40.0","","0.0","","5.8","","5.8","","25","","","","",""
"-62.28","82.52","ALERT","2400300","1951-05","1951","05","-7.4","","-14.3","","-10.9","","8.3","","-21.7","","0.0","","9.1","","9.1","","25","","","","",""
"-62.28","82.52","ALERT","2400300","1951-06","1951","06","3.7","","-2.1","","0.8","","13.9","","-11.1","S","13.0","","16.5","","29.5","","0","","","","",""
"-62.28","82.52","ALERT","2400300","1951-07","1951","07","4.3","","-0.8","","1.8","","16.1","","-5.6","","5.3","","13.0","","18.3","","0","","","","",""
"-62.28","82.52","ALERT","2400300","1951-08","1951","08","1.7","","-2.7","","-0.5","","8.9","S","-12.2","S","3.8","","50.3","","54.1","","20","","","","",""
"-62.28","82.52","ALERT","2400300","1951-09","1951","09","-6.1","","-10.6","","-8.4","","3.3","","-20.0","","1.3","","34.3","","35.6","","33","","","","",""
"-62.28","82.52","ALERT","2400300","1951-10","1951","10","-17.7","","-24.8","","-21.3","","-8.3","","-35.6","","0.0","T","18.0","","18.0","","36","","","","",""
"-62.28","82.52","ALERT","2400300","1951-11","1951","11","-21.0","","-29.5","","-25.3","","-9.4","","-37.8","S","0.0","","5.6","","5.6","","30","","","","",""
"-62.28","82.52","ALERT","2400300","1951-12","1951","12","-30.5","","-37.1","","-33.8","","-17.8","","-46.1","","0.0","","16.5","","16.5","","38","","","","",""
"-62.28","82.52","ALERT","2400300","1952-01","1952","01","-29.6","","-37.3","","-33.5","","-16.1","","-45.0","S","0.0","","7.4","","7.4","","38","","","","",""
"-62.28","82.52","ALERT","2400300","1952-02","1952","02","-29.0","","-36.7","","-32.9","","-14.4","","-42.2","S","0.0","","7.4","","7.4","","38","","","","",""
"-62.28","82.52","ALERT","2400300","1952-03","1952","03","-30.2","","-37.7","","-34.0","","-22.2","","-41.7","","0.0","","9.7","","9.7","","0","","","","",""
"-62.28","82.52","ALERT","2400300","1952-04","1952","04","-20.0","","-29.1","","-24.6","","-2.8","","-40.0","S","0.0","","9.1","","9.1","","0","","","","",""
"-62.28","82.52","ALERT","2400300","1952-05","1952","05","-3.9","","-9.9","","-6.9","","5.0","","-15.6","S","0.0","","15.0","","15.0","","28","","","","",""
"-62.28","82.52","ALERT","2400300","1952-06","1952","06","0.9","","-3.1","","-1.1","","7.2","","-7.2","","0.0","T","12.7","","12.7","","8","","","","",""
"-62.28","82.52","ALERT","2400300","1952-07","1952","07","6.9","","0.3","","3.6","","13.3","","-2.8","","10.2","","9.9","","20.1","","0","T","","","",""
"-62.28","82.52","ALERT","2400300","1952-08","1952","08","2.6","","-2.6","","0.0","","12.8","S","-15.0","","10.9","","24.1","","35.1","","8","","","","",""
"-62.28","82.52","ALERT","2400300","1952-09","1952","09","-6.7","","-14.1","","-10.4","","0.6","S","-24.4","","0.0","T","17.5","","17.5","","18","","","","",""
"-62.28","82.52","ALERT","2400300","1952-10","1952","10","-15.8","","-22.6","","-19.2","","-11.1","","-30.6","","0.0","","15.5","","15.5","","15","","","","",""
"-62.28","82.52","ALERT","2400300","1952-11","1952","11","-23.4","","-29.1","","-26.3","","-15.6","S","-36.7","S","0.0","","7.1","","7.1","","15","","","","",""
"-62.28","82.52","ALERT","2400300","1952-12","1952","12","-21.5","","-29.0","","-25.3","","-11.7","","-35.0","","0.0","","9.1","","9.1","","23","","","","",""
"-62.28","82.52","ALERT","2400300","1953-01","1953","01","-26.6","","-35.0","","-30.8","","-12.2","S","-40.6","S","0.0","","10.9","","10.9","","0","","","","",""
"-62.28","82.52","ALERT","2400300","1953-02","1953","02","-28.2","","-38.3","","-33.3","","-7.2","","-46.7","","0.0","","12.7","","12.7","","33","","","","",""
"-62.28","82.52","ALERT","2400300","1953-03","1953","03","-26.7","","-37.7","","-32.2","","-12.8","","-45.6","","0.0","","7.4","","7.4","","10","","","","",""
"-62.28","82.52","ALERT","2400300","1953-04","1953","04","-12.7","","-21.8","","-17.3","","-1.1","S","-32.8","","0.0","","7.4","","7.4","","13","","","","",""
"-62.28","82.52","ALERT","2400300","1953-05","1953","05","-6.5","","-15.3","","-10.9","","1.7","","-25.0","S","0.0","","9.9","","9.9","","23","","","","",""
"-62.28","82.52","ALERT","2400300","1953-06","1953","06","3.9","","-1.8","","1.1","","9.4","S","-7.8","","0.0","","6.9","","6.9","","0","","","","",""
"-62.28","82.52","ALERT","2400300","1953-07","1953","07","8.3","","1.4","","4.9","","16.7","","-2.2","S","5.3","","3.8","","9.1","","0","","","","",""
"-62.28","82.52","ALERT","2400300","1953-08","1953","08","2.5","","-3.1","","-0.3","","9.4","","-11.1","S","0.8","","24.9","","25.7","","0","","","","",""
"-62.28","82.52","ALERT","2400300","1953-09","1953","09","-5.9","","-10.9","","-8.4","","3.9","","-23.9","","0.3","","38.6","","38.9","","23","","","","",""
"-62.28","82.52","ALERT","2400300","1953-10","1953","10","-17.1","","-23.9","","-20.5","","-11.1","S","-31.1","","0.0","","37.1","","37.1","","0","","","","",""
