, 42160 692  511   31 ILULISSAT/JAKOBSHAVN GREENLAND     17842013
0,1784 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
1,1785 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2,1786 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
3,1787 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
4,1788 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
5,1789 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
6,1790 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
7,1791 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
8,1792 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
9,1793 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
10,1794 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
11,1795 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
12,1796 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
13,1797 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
14,1798 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
15,1799 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
16,1800 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
17,1801 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
18,1802 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
19,1803 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
20,1804 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
21,1805 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
22,1806 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
23,1807 -999 -999 -999 -999 -999 -999 -999   41   34  -25  -59  -94
24,1808 -238 -155 -129  -76  -24   38   70 -999 -999 -999 -100  -88
25,1809 -108 -190 -103  -45 -999 -999 -999 -999 -999 -999 -999 -999
26,1810 -999 -999 -999 -999 -999 -999 -999 -999  -41  -48  -62 -127
27,1811 -203 -254 -999 -999 -999 -999 -999   41  -28  -46 -141 -155
28,1812 -161 -999 -999  -74  -22   16   75 -999 -999  -46  -78  -79
29,1813 -210 -162 -306 -143  -66   57   78   49   15  -21 -100 -123
30,1814 -109 -217 -241 -100    6   21   78 -999 -999 -999  -86  -87
31,1815 -144 -230 -306 -155  -28   22 -999 -999 -999 -999 -999 -999
32,1816 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
33,1817 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
34,1818 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
35,1819 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
36,1820 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
37,1821 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
38,1822 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
39,1823 -999 -999 -999 -999 -999 -999 -999 -999 -999  -37  -82 -212
40,1824 -161 -196 -160  -59   15   57   81 -999 -999 -999 -999 -999
41,1825 -999 -999 -999 -999 -999 -999   54 -999 -999  -63 -136 -180
42,1826 -184 -999 -204 -234  -31   -6 -999 -999    6  -51  -60 -118
43,1827 -186  -74 -197 -105  -22 -999 -999 -999 -999 -999 -999 -999
44,1828 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
45,1829 -999 -999 -999 -999 -999 -999 -999 -999 -999  -39  -52 -108
46,1830  -71 -158 -184  -78 -999 -999 -999 -999   29  -50 -107 -129
47,1831 -121 -153 -155  -54   19 -999 -999 -999 -999  -82  -99  -97
48,1832 -187 -252 -288 -108 -999 -999 -999 -999 -999  -80 -138 -248
49,1833 -210 -207 -124  -76 -999 -999 -999   61   11  -71 -133 -226
50,1834 -176 -241 -167  -83  -22  -49   62 -999  -58  -49  -75 -170
51,1835 -266 -246 -211 -100   -1   21 -999 -999 -999  -69  -19  -88
52,1836 -171 -211 -190 -149   -9   15   40 -999   11  -89 -154 -168
53,1837 -213 -293 -127 -113    5 -999 -999   45    9  -78 -183 -207
54,1838 -214 -150 -212 -100   15 -999 -999 -999 -999  -68  -76 -139
55,1839 -202 -260 -178 -109 -999 -999 -999 -999 -999  -65 -107 -123
56,1840 -171 -210  -60 -106   11   30   59   34    4  -46 -117 -130
57,1841 -138 -113 -160  -91  -14   16   51   38    6  -43 -118 -162
58,1842 -158 -236 -185 -106    5   29   60   35    7  -18 -118 -151
59,1843 -180 -129 -104  -71    3   48   54   40   10  -21 -136 -188
60,1844 -227 -197 -190 -172  -53   48   67   43    3  -27 -116 -119
61,1845 -181 -227 -132  -61   -6   29   90   56   11  -62  -91 -150
62,1846 -182 -160 -151  -64    3   17   53   49   16  -66  -83  -69
63,1847  -63  -80  -34  -39   21   43   49   35    7  -16 -134 -184
64,1848 -171 -183 -155  -66   22   58   84   55   21   -8  -66 -181
65,1849 -223 -224 -179  -55   14   49   56   50   22  -51 -111  -70
66,1850 -141 -231 -161  -91   23   54   70   51   26  -28  -97 -132
67,1851 -115 -192 -107  -66   -6   40 -999 -999    5  -34  -68 -146
68,1852 -999 -999 -999 -999 -999   54   74 -999   17  -25  -76 -113
69,1853 -207  -59 -172  -55    2   45   68 -999   -5  -61 -131 -135
70,1854 -125 -215 -194 -133  -15   41   77 -999 -999 -999 -999 -999
71,1855 -165 -140 -183 -174  -55   11   65   46   -6  -51  -76  -70
72,1856 -111  -90  -84  -84   -5   24   77   38   16  -34  -39 -103
73,1857 -144 -202 -156 -103  -13   69   74   59   12  -51  -82 -150
